,title,overview,genres
25,Tainá e os Guardiões da Amazônia - Em Busca da Flecha Azul,"In the story, the wise Master Aí is responsible for training young Tainá to one day become the Guardian of the Amazon. And in this adventure, she will meet special friends: Catu, Pepe, and Suri. Different and inseparable, the quartet embarks on a journey in search of the Blue Arrow, an ancestral amulet that will guide their path so that they can guard and protect the forest from a great evil that puts everyone in danger.","Animation ,Adventure"
26,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.","Horror ,Comedy"
27,Stronger Than the Devil,"Valentin is lost and penniless. He reunites with his son Joseph after 20 years of absence and plunges him and his wife Alice into total chaos. With JP, Mila and Gigi, the devil had better watch out...","Crime ,Thriller"
28,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.","Animation ,Family ,Mystery ,Adventure ,Comedy ,Action"
29,Open Season 2,"Two years after moving to the French countryside and seeing hunting banned, Adelaide and Simon discover that living close to nature can be rewarding, peaceful... and unbelievably boring. Desperate to make new friends, they're overjoyed when Bernard's witty, wealthy son Stan and his smart, aristocratic wife Bennie move to town—with kids the same age as theirs. But what seems like a gift from heaven turns out to be a Trojan horse: Stan and Bennie are die-hard coursers, determined to hunt on horseback with their hounds wherever they please. Chaos ensues. The clash becomes a full-blown war as Stan buys up land, bribes the locals, and plans to turn the forest into a playground for the ultra-rich. With help from Bernard and his old hunting buddies, can Addie and Simon rally the villagers and spark a rural revolt to save their peaceful corner of the world?",Comedy
30,Keeper,"Liz and Malcolm escape for a romantic anniversary weekend at a secluded cabin. When Malcolm suddenly returns to the city, Liz finds herself isolated and in the presence of an unspeakable evil that reveals the cabin's horrifying secrets.","Horror ,Mystery"
31,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.","Action ,Crime ,Thriller"
32,Hasta que amanezca,,"Comedy ,Drama"
33,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","Adventure ,Thriller ,Science Fiction"
34,Mutiny,"After his billionaire industrialist boss is murdered in front of him, Cole Reed is set up to take the fall for the crime — leaving him on the run as he works to uncover an international conspiracy.","Action ,Crime ,Thriller"
35,"You, Me & Tuscany",A free-spirited American chef and reserved British lawyer embark on a whirlwind romance during a destination wedding in coastal Italy.,"Romance ,Comedy"
36,The Sin Trade,,"Action ,Crime"
37,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.","Adventure ,Comedy ,Horror"
38,"""Wuthering Heights""","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.","Romance ,Drama"
39,Everybody Loves Sohrab Handa,"At an anniversary party, Sohrab Handa is found dead, with his throat slit in the hall. As the investigation unravels, friendships are tested, and secrets are revealed.","Thriller ,Mystery ,Drama"
40,Your Heart Will Be Broken,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.","Romance ,Drama"
41,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.","Horror ,Thriller ,Comedy"
42,Infiltrate,"In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever.","Action ,Thriller"
43,Humint,A South Korean agent hunts a drug ring in Russia and goes head-to-head with a North Korean operative — pulling both into peril and tangled secrets.,"Thriller ,Action ,Drama"
44,Finding Harry: The Craft Behind the Magic,"Featuring interviews from members of the casting, production design, costume design, and creature effects teams, follow the behind-the-scenes journey of bringing the Harry Potter books to the small screen. Find out how the new Golden Trio were found, and celebrate the commitment to detail of the artists, craftspeople, and technicians who have come together to bring the wizarding world to life.",Documentary
45,The Yeti,"When an oil tycoon and a famous adventurer vanish into the harsh winter of remote northern Alaska, a hand-picked rescue team endeavors to bring them home. What they don’t know is that they are trespassing on The Yeti’s territory, and the elements are the least of their worries.","Horror ,Thriller"
46,Dhurandhar: The Revenge,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","Action ,Crime ,Thriller"
47,Timur,Follows the real-life international hostage crisis that took place in Mapenduma in 1996. The subsequent rescue operation was overseen by now-Indonesian President Prabowo Subianto.,"Action ,Drama ,History ,Thriller ,War"
48,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.","Mystery ,Thriller"
49,Feel My Voice,"A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing.","Music ,Drama ,Comedy"
50,War Machine,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.","Action ,Science Fiction ,Thriller"
51,How to Make a Killing,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.","Comedy ,Thriller"
52,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.","Drama ,Thriller"
53,Jana Nayagan,"A clash of ideologies. One stands for the people, the other feeds on control. Their paths collided once before. Years later, a child’s silent fear ignites the past, drawing a former police officer into a battle far bigger than personal revenge.","Action ,Drama ,Science Fiction"
54,Mike & Nick & Nick & Alice,"Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine.","Comedy ,Science Fiction ,Crime"
55,Arco,"10-year-old Arco lives in a far future. During his first flight in his rainbow suit, he loses control and falls into the past. Iris, a girl his age from 2075, comes to his rescue and tries by all means to help send him back to his era.","Animation ,Adventure ,Fantasy ,Family ,Science Fiction"
56,The Shrinking Man,"Paul, is an ordinary man who divides his life between his shipbuilding company, his wife Elise and their daughter Mia. During a sea trip, Paul finds himself confronted with a strange, unexplained meteorological phenomenon. From then on, Paul shrinks inexorably, without science being able to explain why or be of any help to him. When, by accident, he finds himself a prisoner in his own cellar, and while he is only a few centimeters tall, he will have to fight to survive in this banal environment that has become perilous. During this experience, Paul will find himself confronted with himself, with his humanity, and will try to answer the great questions of existence.","Adventure ,Science Fiction"
57,EPiC: Elvis Presley in Concert,"Long-lost footage from Elvis Presley's legendary Las Vegas residency in the 1970s woven together with rare 16mm footage from Elvis on Tour, and 8mm from the Graceland archive, plus recordings of Elvis telling ""his side of the story"" rediscovered during Baz Luhrmann's research for his 2022 film, Elvis.","Music ,Documentary"
58,Untold: Chess Mates,"Magnus Carlsen, widely regarded as the greatest chess player of all time, is challenged by Hans Niemann, a rising star who capitalizes on the meteoric growth of online chess. Niemann’s ascension culminated in an epic, controversy-shrouded victory over Carlsen at the 2022 Sinquefield Cup, which eventually led to allegations and revelations of cheating. Determined to clear his name, Niemann fights his way back to the top of the chess world, setting the stage for a high-stakes rematch with Carlsen in 2024.",Documentary
59,Spider-Man: Brand New Day,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.","Science Fiction ,Action ,Adventure"
60,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Thriller ,Crime ,Comedy"
61,Eat Pray Bark,"In this tumultuous comedy, five eccentric dog owners seek help in dealing with their four-legged friends. Their last hope: an intensive course with the charismatic and legendary dog trainer Nodon in the Tyrolean mountains.",Comedy
62,Backrooms,A strange doorway appears in the basement of a furniture showroom.,"Horror ,Mystery ,Science Fiction"
63,The Smashing Machine,"In the late 1990s, up-and-coming mixed martial artist Mark Kerr aspires to become the greatest fighter in the world. However, he must also battle his opioid dependence and a volatile relationship with his girlfriend Dawn.","Drama ,History"
64,Bone Keeper,"Six young friends investigate missing persons cases in a remote cave system, unaware they're being stalked by an ancient creature lurking in the depths.","Horror ,Adventure ,Science Fiction"
65,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.","Drama ,Romance ,History"
66,Faces of Death,"A woman, employed as a website content moderator, comes across a series of violent videos reproducing death scenes from a film.","Horror ,Thriller"
67,Pretty Lethal,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,"Music ,Thriller ,Action ,Horror"
68,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.","Animation ,Family ,Comedy ,Adventure ,Fantasy"
69,Exit Protocol,An assassin whose specialty is killing other assassins trying to get out of the business decides to try to get out himself and must then team up with his former mark to escape the hired killers now gunning for them both.,"Action ,Thriller"
70,Vadh 2,"A police officer's pursuit of truth in a shocking prison crime intertwines with the lives of a widowed prison guard and a soon to be released inmate, unravelling a web of morality and redemption.","Crime ,Drama ,Thriller"
71,Beauty and the Beat,"Imagine the excitement when four rival divas are brought together to perform on the same stage. But remember, when two ride on a horse, one must sit behind. So, how will these four divas share the spotlight without chaos?","Comedy ,Music"
72,S4: The Bob Lazar Story,"Over 35 years after Bob Lazar's revelations, this documentary exposes secrets of a facility the government still denies. Featuring Lazar's testimony, recreations, and new evidence, it reopens a case that continues to spark global curiosity",Documentary
73,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.","Fantasy ,Adventure ,Romance"
74,Peaky Blinders: The Immortal Man,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.","Crime ,Drama"
75,Dolly,"Young Macy is abducted by a deranged, monstrous figure who wants to raise her as its child.",Horror
76,Thaai Kizhavi,"Pavunuthaayi is a fiercely independent, intimidating elderly woman in a rural village, known for being tough, ruthless, and blunt-especially as a moneylender whose strict enforcement of dues makes her feared by locals.","Comedy ,Drama"
77,Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.","Comedy ,Horror"
78,It Takes a Village,"When financial trouble forces Halina to call off her wedding, her friends and family decide to hatch a wild plan to bring in tourist money.","Romance ,Comedy"
79,Good Fortune,A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy capitalist.,"Comedy ,Fantasy"
80,Good Fortune,A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy capitalist.,"Comedy ,Fantasy"
81,Samakdo,"The producer of the accusation program begins to track the cult 'Samsundo' and the historical facts behind it. The more they try to find out about 'Samsundo', the more they become engulfed in a bizarre phenomenon. Will they be able to safely arrive at 'Thousand Years' Shrine, the only shrine in Korea, and let the whole story known to the world?","Horror ,Mystery"
82,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.","Crime ,Thriller"
83,Moana,"Prompted by a summons from the ocean, Moana departs her home island of Motunui for the first time and travels past its barrier reef. Accompanied by the demigod Maui, she undertakes a voyage aimed at recovering the well-being of her community.","Family ,Fantasy ,Comedy ,Adventure"
84,Sentimental Value,"Sisters Nora and Agnes reunite with their estranged father, the charismatic Gustav, a once-renowned director who offers stage actress Nora a role in what he hopes will be his comeback film. When Nora turns it down, she soon discovers he has given her part to an eager young Hollywood star.",Drama
85,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","Animation ,Family ,Comedy ,Adventure"
86,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Horror ,Action ,Thriller"
87,Animal Totem,"From Paris–Beauvais Airport to La Défense, with his wheeled suitcase in tow, Darius makes his way on foot through the countryside and the suburbs to complete a mysterious mission—leaving no carbon footprint.",Comedy
88,Touch Me,Two codependent best friends become addicted to the heroin-like touch of an alien narcissist who may or may not be trying to take over the world.,"Horror ,Science Fiction ,Comedy"
89,Reminders of Him,"When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance.","Romance ,Drama"
90,"Good Luck, Have Fun, Don't Die",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,"Science Fiction ,Action ,Comedy"
91,Wanted Santa,"Zoé, an 8-year-old girl, wants to get a BB gun from Santa Claus to get revenge on Timothée, a classmate who annoys her by playing with his Lego robot. Her mother, Nadia, works for Timothée's parents, which complicates her quest for revenge. When she discovers that her Christmas wish hasn't been granted, Zoé is determined to find Santa and force him to grant her wish. And her luck changes when she hears an advertisement revealing that Santa Claus, in person, is on parade every day at Parc Enchanté, the famous amusement park...","Comedy ,Family"
92,The Running Man,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.","Action ,Thriller ,Science Fiction"
93,The Sin Trade,"In the late 1990s, detective Chi Feng navigates a violent turf war between rival trafficking syndicates to dismantle both criminal groups and rescue a group of abducted women.","Crime ,Action ,Mystery"
94,My Father's Shadow,"Two young brothers explore Lagos with their estranged father during the 1993 Nigerian election crisis, witnessing both the city's magnitude and their father's daily struggles as political unrest threatens their journey home.",Drama
95,Peaky Blinders: The Immortal Man,"After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.","Crime ,Drama"
96,Agent Zeta,"Four Spanish ex-intelligence officers are assassinated simultaneously worldwide. The CNI discovers all participated in the covert ""Operation Ciénaga"" decades ago in Colombia. Zeta, the CNI's best operative, must hunt and protect the sole survivor, facing his deadliest global mission yet. Top Colombian agent Alfa will join Zeta, seemingly knowing more about ""Ciénaga""'s secrets than him.","Drama ,Thriller"
97,The Mortuary Assistant,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.","Horror ,Mystery"
98,The Giant Falls,"Follows Boris, a charismatic tour guide who unexpectedly reunites with his estranged father Julián. Their tense and emotional encounters explore past wounds and the possibility of forgiveness.",Drama
99,Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,"Action ,Crime ,Thriller"
100,Wardriver,"He’s a Wardriver: a hacker who steals from banks, not people—until he’s noticed. Now the money turns violent, and the woman caught in it could save him or kill them both.","Crime ,Thriller"
101,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.","Action ,Science Fiction ,Thriller"
102,Return to Silent Hill,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.","Mystery ,Drama ,Horror"
103,The Red Line,"Three women fall prey to a ruthless phone scam. To settle the score, they'll take on the criminal network that stole their money — and their dignity.","Thriller ,Crime ,Drama"
104,Kadhal Reset Repeat,"Two people attempt to restart their romance after a major breakdown, believing that a “reset” will fix what went wrong. Just as hopeful habits begin, the shoals of memory, regret and new expectations force them to search for what they really want. A loop of love, loss and renewal takes them through familiar terrain with unfamiliar stakes.","Romance ,Comedy ,Drama"
105,Mother Mary,Long-buried wounds rise to the surface when iconic pop star Mother Mary reunites with her estranged best friend and former costume designer Sam Anselm on the eve of her comeback performance.,"Music ,Drama ,Thriller"
106,Past the Room,"On a monotonous afternoon, a young man observes the physical and existential limits of his room. Through sounds and glimpses of urban life and nature, he questions his own existence in the face of the vastness of the outside world.",Drama
107,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.","Horror ,Mystery"
108,A Mouse Hunt for Christmas,"A small mouse family plans a quiet Christmas outside the city, but their celebration is disrupted when humans unexpectedly appear. As the mice try to hide their preparations, the humans react to the noises behind the walls with determination.","Family ,Animation ,Comedy"
109,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","Action ,Science Fiction ,Adventure"
110,Fjord,"The Gheorghius – Catholic and Romanian - settle in a Norwegian village, the mother’s birthplace. They quickly bond with the Halbergs, who live in the neighbouring house near the bay. Despite their very different upbringings, the children of both families soon become close friends. Until the Gheorghius are suspected of hurting their own children…",Drama
111,Exit 8,"A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?","Horror ,Mystery"
112,Cold Storage,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","Horror ,Science Fiction ,Comedy"
113,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.","Science Fiction ,Adventure ,Action"
114,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.","Fantasy ,Action ,Horror"
115,Primate,"Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.","Horror ,Thriller"
116,28 Years Later: The Bone Temple,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,"Horror ,Thriller ,Science Fiction"
117,The Giant Falls,"Follows Boris, a charismatic tour guide who unexpectedly reunites with his estranged father Julián. Their tense and emotional encounters explore past wounds and the possibility of forgiveness.",Drama
118,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"Action ,Crime ,Drama ,Thriller"
119,Disclosure Day,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?","Science Fiction ,Thriller ,Mystery"
120,Dhurandhar,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.","Action ,Crime ,Thriller"
121,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","Science Fiction ,Adventure ,Action"
122,The Testament of Ann Lee,"The extraordinary true legend of Ann Lee, founder of the devotional sect known as the Shakers, who preached gender and social equality and was revered by her followers as the female Christ.","History ,Drama ,Music"
123,Sheep in the Box,"In the near future, a couple take a state-of-the-art humanoid into their home as their son.","Drama ,Science Fiction"
124,Dacoit,"A man is convicted for a crime he didn't commit owing to a betrayal by his better half. He hunts her down seeking vengeance, as their stories intertwine with a series of robberies.","Action ,Romance ,Thriller"
125,Louise,Follows the struggles of Marion in her attempt to reconnect with her family and piece together her fragmented identity after fleeing a troubled childhood.,Drama
126,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","Action ,Thriller ,Crime"
127,Cosmic Princess Kaguya!,"Iroha's life gets knocked off its orbit when Kaguya, a carefree runaway from the Moon, moves in and convinces her to perform in a virtual world together.","Animation ,Fantasy ,Music ,Science Fiction"
128,The Hero of Friedrichstrasse Station,"All his life, Michael Hartung, owner of a hopelessly debt-ridden video store, has bet on the wrong horse. When an ambitious journalist confronts him with the results of his research, everything changes for the charmingly melancholy Micha. Many years ago, as an employee of the Reichsbahn, he is said to have organized the largest mass escape in the GDR. Stasi files prove the case. He was apparently even imprisoned and then deported to an open-cast lignite mine. Seduced by a lavish salary, Micha confirms the story, although only fragments of it are true.",Comedy
129,BTS: THE RETURN,"They're back! BTS gathers in LA to record their album ""Arirang"" in this documentary offering unprecedented access to the band as they enter a new era.","Documentary ,Music"
